rank,channel,electrode_name,roi,roi_mapping_source,occ_score,occ_ci_lo,occ_ci_hi,occ_p_value,occ_fdr_p_value,occ_fdr_significant,occ_ci_significant,perm_score,perm_ci_lo,perm_ci_hi,perm_p_value,perm_fdr_p_value,perm_fdr_significant,perm_ci_significant,ig_rank,ig_importance,contribution_type,subject_stability,robust_significant,combined_score
31,30,O2,Occipital,montage_file,0.00022944091278829693,0.00011348328408267763,0.0003430911987835975,0.0001999600079984003,0.0006094019291379819,True,True,0.0003287001708407461,0.0001746146404816781,0.00048211627968667463,0.0003999200159968006,0.0010664533759914684,True,True,48,0.0006659732898697257,facilitatory,15/18,True,-0.3196712169812428
32,28,O1,Occipital,montage_file,0.00021664303761941415,9.469120829929542e-05,0.0003387315106796629,0.0003999200159968006,0.0010664533759914684,True,True,0.0003143462575512168,0.0001370684200046976,0.0004943049469111878,0.0013997200559888023,0.003199360127974405,True,True,37,0.0007592432666569948,facilitatory,12/18,True,-0.3448381918568342
33,32,AF7,Frontal,montage_file,0.00016371969087624255,-3.399014160220998e-05,0.00036421668842250905,0.11037792441511697,0.14128374325134974,False,False,0.0004031610047375714,0.00011264824996024011,0.0007075472964364804,0.008198360327934412,0.016925647128638786,True,True,21,0.0011894763447344303,facilitatory,10/18,True,-0.3520165577038454
34,24,Pz,Parietal,montage_file,0.0001665461799244822,3.709105034301313e-05,0.00030200293034683023,0.01279744051189762,0.023401034078898503,True,True,0.00035581033170959097,0.00018029054677412833,0.0005458477661013602,0.0001999600079984003,0.0006094019291379819,True,True,39,0.0007447583484463394,facilitatory,10/18,True,-0.37949554783192085
35,48,TP7,Temporal,montage_file,0.00016580288424903963,4.688827141567514e-05,0.00027912405869107187,0.005398920215956809,0.010797840431913617,True,True,0.000311741214475514,0.0001535842486737687,0.00047785098694356874,0.0003999200159968006,0.0010664533759914684,True,True,36,0.0007634083740413189,facilitatory,12/18,True,-0.40923035397749363
36,25,P4,Parietal,montage_file,-0.0002543285047566449,-0.00036535136558023495,-0.0001442188330822521,0.0001999600079984003,0.0006094019291379819,True,True,-0.00011739581087489187,-0.00027311746481760045,3.036324385507594e-05,0.14397120575884823,0.2003077645340497,False,False,60,0.00045517735998146236,suppressive,13/18,True,-0.4271625315577338
37,19,CP2,Centro-Parietal,montage_file,-0.00020187541290565773,-0.0003137165227054078,-8.512314951714177e-05,0.0007998400319936012,0.002047590481903619,True,True,-0.00017405527241436052,-0.0003347727956227314,-1.5279113878438506e-05,0.03259348130373925,0.052149570085982797,False,True,56,0.0005288832471705973,suppressive,13/18,True,-0.454788474135237
38,0,Fp1,Frontal,montage_file,-0.00021868537237614761,-0.00033877792393351776,-9.106251836558921e-05,0.0011997600479904018,0.0029532555027456044,True,True,-0.00012404979747018696,-0.00030531102179745095,5.735105616442946e-05,0.1829634073185363,0.23110671983250408,False,False,26,0.0009029065258800983,suppressive,9/18,True,-0.4667611596025279
39,33,AF3,Frontal,montage_file,-0.00016337601490962653,-0.0002809286684165766,-4.470112165551129e-05,0.008398320335932814,0.015808602985285296,True,True,-0.00014838483966427086,-0.0003305045710301693,2.8794087653542626e-05,0.09998000399920016,0.14542546036247297,False,False,29,0.0008825547993183136,suppressive,10/18,True,-0.519047059388492
40,59,POz,Parieto-Occipital,montage_file,0.0001209663572134795,2.1092747004679695e-05,0.0002262114299300276,0.022195560887822437,0.0355128974205159,True,True,0.0001996298263102402,4.8324426291165535e-05,0.0003610552083930851,0.011397720455908818,0.022795440911817635,True,True,51,0.0006194993038661778,facilitatory,14/18,True,-0.5378296166706771
41,16,TP9,Temporal,montage_file,6.438656353656156e-05,-7.841624236769146e-05,0.00020794788150139796,0.377124575084983,0.44696245935997986,False,False,0.00026158259606655734,5.13525951975658e-05,0.000475618658978262,0.016396720655868825,0.029982574913588706,True,True,32,0.0007817150908522308,facilitatory,9/18,True,-0.5670825311418091
42,10,FC6,Fronto-Central,montage_file,-0.00019509883942427458,-0.00036631496480585616,-3.264420608311526e-05,0.01879624075184963,0.030845113028676315,True,True,1.0159545474582248e-05,-0.00022679032458935254,0.0002601549513178104,0.935612877424515,0.9504638754788725,False,False,22,0.0011428954312577844,mixed,12/18,False,-0.5703212986595456
43,63,M2,Mastoid,montage_file,-0.00012085877450895898,-0.0002003464306026329,-4.4001636773715856e-05,0.0023995200959808036,0.005484617362241837,True,True,-0.00013586457128877993,-0.0002499211557485439,-2.5094281284161647e-05,0.01999600079984003,0.035548445866382276,True,True,59,0.0004644329019356519,suppressive,12/18,True,-0.5796605236880172
44,35,AF8,Frontal,montage_file,0.00012808041808045942,1.6494290420302643e-05,0.00024276298652460546,0.026394721055788842,0.041201515794402094,True,True,0.00010419366536317048,-5.642661930602273e-05,0.0002627686343075316,0.21035792841431714,0.258902065740698,False,False,43,0.0006997476448304951,facilitatory,10/18,True,-0.5914665237380519
45,18,CP1,Centro-Parietal,montage_file,-0.00015229551512518046,-0.00027034831065454604,-2.331646329458852e-05,0.014997000599880024,0.026632511335570725,True,True,-5.4425939365669534e-05,-0.00023516138091131492,0.00012343217809627084,0.5430913817236552,0.5992732487985161,False,False,64,0.0003753832424990833,suppressive,9/18,True,-0.5941528052505336
46,29,Oz,Occipital,montage_file,8.920811944537692e-05,3.441319421485625e-06,0.00017373189799211637,0.05418916216756649,0.07882059951646035,False,True,0.00016970960446345952,4.7073374559849914e-05,0.00029954053259190216,0.01199760047990402,0.023268073657995676,True,True,62,0.00043856375850737095,facilitatory,11/18,True,-0.5965550701991028
47,61,PO8,Parieto-Occipital,montage_file,0.00011464930610892214,-2.305603505652578e-06,0.00023237862382773992,0.06418716256748651,0.08930387835476383,False,False,0.00010009222560458713,-7.86843592369998e-05,0.00028577944001665815,0.2623475304939012,0.31679701795489956,False,False,31,0.0008230309467762709,facilitatory,9/18,False,-0.6107098751908713
48,37,F1,Frontal,montage_file,-6.543858183754815e-05,-0.00021611577014864227,7.808490272289422e-05,0.385122975404919,0.4481430986529967,False,False,0.00015474645443904546,-6.086295732745417e-05,0.00037110772480567286,0.15936812637472506,0.21249083516630007,False,False,47,0.0006837293622083962,mixed,11/18,False,-0.6356490939222212
49,47,C6,Central,montage_file,8.93148007216277e-05,5.71865110117713e-06,0.00017629735723689746,0.038792241551689664,0.05773728975135206,False,True,0.00010857925002957568,-1.5471201528001662e-05,0.00022895085333306107,0.08318336332733453,0.12675560126070023,False,False,53,0.0006098129088059068,facilitatory,14/18,False,-0.6363987278346366
50,1,Fp2,Frontal,montage_file,-5.4742587201389264e-05,-0.00020555646643962382,9.995292715820261e-05,0.47370525894821036,0.5318795889944818,False,False,0.0001554984516567654,-5.553191661098856e-05,0.00038358932613958543,0.1749650069986003,0.22852572342674324,False,False,42,0.0007037559407763183,mixed,10/18,False,-0.6483460727688067
51,38,F2,Frontal,montage_file,-0.00013360296502525423,-0.00026697647553167213,1.658157112053882e-05,0.057588482303539294,0.08190361927614477,False,False,4.446109135945638e-06,-0.000194757602556988,0.00021619951623825354,0.9638072385522896,0.9638072385522896,False,False,30,0.0008534028311260045,mixed,11/18,False,-0.6498852196974321
52,56,P6,Parietal,montage_file,-0.00010887035617121944,-0.00018559715427734233,-3.0347770746843335e-05,0.007798440311937612,0.015124247877697188,True,True,-4.660328965128204e-05,-0.00015291762002456332,6.179207784158197e-05,0.39432113577284544,0.44768590141620795,False,False,63,0.0004230403865221888,suppressive,10/18,True,-0.6528138504883751
53,17,CP5,Centro-Parietal,montage_file,-0.00011910409471135081,-0.0002650569059230663,3.40053813508998e-05,0.10317936412717456,0.1363319172900114,False,False,-1.3815480985759218e-05,-0.00022151496436124965,0.00018506810197859631,0.8960207958408318,0.9249246924808586,False,False,35,0.0007771532400511205,suppressive,12/18,False,-0.6616361562377184
54,12,C3,Central,montage_file,8.802895928606575e-06,-0.00016317367590503929,0.00018192200804198228,0.9200159968006398,0.9496939321813056,False,False,0.00022117216645935436,-1.9182758474791468e-05,0.0004670272436406877,0.08018396320735853,0.12516521086026697,False,False,25,0.0010323243914172053,facilitatory,11/18,False,-0.6620459186453124
55,45,C1,Central,montage_file,-0.00010573731160458223,-0.00023857607030206254,2.692816618048108e-05,0.10197960407918416,0.1363319172900114,False,False,3.024316128389335e-05,-0.00016005306470173375,0.0002240166731270743,0.7580483903219356,0.8085849496767313,False,False,38,0.0007503016968257725,mixed,10/18,False,-0.6673755024681294
56,11,T7,Temporal,montage_file,2.8133907435852803e-06,-0.0001324822499796196,0.0001402998455328705,0.968006398720256,0.968006398720256,False,False,0.00021083140446815962,2.583015664124203e-05,0.00041360260748568865,0.02439512097580484,0.04108651953819762,True,True,44,0.0006966948276385665,facilitatory,10/18,True,-0.676193473036009
57,2,F7,Frontal,montage_file,-1.57259938157635e-05,-0.00012949431797972433,9.904206056653716e-05,0.7920415916816637,0.8448443644604412,False,False,0.00018369408669295135,2.1260268710277716e-05,0.00035059397649249907,0.03259348130373925,0.052149570085982797,False,True,49,0.0006562549388036132,mixed,9/18,False,-0.6780175484555704
58,57,PO7,Parieto-Occipital,montage_file,3.8619836171468096e-05,-5.830641164455884e-05,0.00014051532754559562,0.4527094581083783,0.5173822378381466,False,False,0.00012714388193907562,-1.322219989917894e-05,0.00026700064052402226,0.08578284343131373,0.12767679022335068,False,False,54,0.0006037463317625225,facilitatory,13/18,False,-0.6867682995890905
59,62,M1,Mastoid,montage_file,-6.938281250588688e-05,-0.00015245328999963806,1.6433137066570306e-05,0.10437912417516497,0.1363319172900114,False,False,-5.75727003592032e-05,-0.00017782748361796507,6.02691759481842e-05,0.33453309338132375,0.39648366622971704,False,False,61,0.00045226106885820627,suppressive,10/18,False,-0.6943308424561042
60,55,P2,Parietal,montage_file,4.209250579645604e-06,-0.00012802396098404752,0.00013408260341779682,0.9478104379124175,0.9628550480380114,False,False,0.00016454054249657524,-3.3964641116283524e-05,0.0003634381538004051,0.10897820435912818,0.15499122397742673,False,False,27,0.0008865158306434751,facilitatory,9/18,False,-0.7047434595234678
