rank,channel_index,electrode_name,roi,occlusion_delta_p,occlusion_ci_low,occlusion_ci_high,occ_p_value,occ_fdr_p_value,permutation_delta_p,permutation_ci_low,permutation_ci_high,perm_p_value,perm_fdr_p_value,ig_rank,contribution_type,subject_stability,robust_significant,best_frequency_band,delta_score,theta_score,alpha_score,beta_score,frequency_contribution_type,interpretation_note
1,14,C4,Central,0.001764056686265969,0.0012612933011518584,0.0022486509654073067,0.0001999600079984003,0.0006094019291379819,0.003678317724922557,0.0030055969053028545,0.004315533265287493,0.0001999600079984003,0.0006094019291379819,2,facilitatory,12/18,True,theta,0.00018538860604166985,0.0004479300987441093,0.00041629577754065394,0.00035274052061140537,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band theta supports decoding
21,27,PO9,Parieto-Occipital,0.0002576009653232716,4.316626489162446e-05,0.00046938000398653526,0.016796640671865627,0.028289079026300002,0.0004614181945353378,0.00017305843145759022,0.0007661676610141619,0.0027994401119776045,0.005972138905552223,24,facilitatory,11/18,True,theta,-0.00019977321790065616,0.0005353594897314906,9.8695199994836e-05,-7.64791839173995e-05,band_selective,Removing this channel reduces P(attended); significant by both methods; best band theta supports decoding
22,9,FC2,Fronto-Central,0.00024935784531228335,1.3819025806438794e-05,0.00048256493782923544,0.030393921215756847,0.046314546614486626,0.0004460492325417789,9.462667707307843e-05,0.0007930671088857412,0.015796840631873626,0.029735229424703295,12,facilitatory,11/18,True,delta,0.0003722876717802137,-0.00025429113884456456,4.0228238503914326e-05,4.4246960896998644e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
23,39,F6,Frontal,0.0002440768149163988,0.00011700332523496063,0.0003698434365200407,0.0003999200159968006,0.0010664533759914684,0.0004338769265163092,0.00024174464898712842,0.0006114753064366031,0.0001999600079984003,0.0006094019291379819,41,facilitatory,12/18,True,delta,0.00011843110405607149,-4.1466944821877405e-05,8.243885531555861e-06,0.00010271523933624849,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
24,26,P8,Parietal,-0.0003449720953717644,-0.0004644518908527162,-0.00020991823969431867,0.0001999600079984003,0.0006094019291379819,-0.0002138464171209453,-0.00038798846626355324,-2.8722290179611833e-05,0.022595480903819236,0.039084075076876515,46,suppressive,9/18,True,delta,-0.00021725591795984656,3.917793947039172e-05,-0.00013736401160713285,-4.289585558581166e-05,band_selective,Removing this channel increases P(attended); significant by both methods; best band delta may be suppressive/noisy
25,4,Fz,Frontal,0.00019665413800581003,2.4886279562373266e-05,0.00035577391851463434,0.015396920615876825,0.026632511335570725,0.0004273380578300099,0.00018949290420170194,0.0006596526925762492,0.0003999200159968006,0.0010664533759914684,28,facilitatory,11/18,True,delta,0.00023345505178440362,-4.55449044238776e-05,2.2032871129340492e-05,-3.146643939544447e-05,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
26,34,AF4,Frontal,-0.0002694320347574022,-0.0003897375411089556,-0.0001485552945070797,0.0001999600079984003,0.0006094019291379819,-0.0002752752878047802,-0.00043891611318161455,-0.00011215033556944062,0.0007998400319936012,0.001968837001830403,52,suppressive,13/18,True,delta,-0.0002073975483654067,-2.4182731067412533e-05,1.8946591808344238e-05,2.2691669073537923e-05,band_selective,Removing this channel increases P(attended); significant by both methods; best band delta may be suppressive/noisy
27,58,PO3,Parieto-Occipital,0.00021746205694881486,8.389933894813797e-05,0.0003513585847836954,0.0027994401119776045,0.005972138905552223,0.00035643185362403776,0.00015448044865955542,0.0005549758061030763,0.0007998400319936012,0.001968837001830403,34,facilitatory,13/18,True,beta,5.792718002339825e-05,7.900020864326507e-05,1.9617713405750692e-05,9.63329803198576e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band beta supports decoding
28,20,CP6,Centro-Parietal,-0.00031819729525365946,-0.000491819712942765,-0.0001372053145810412,0.0013997200559888023,0.0033178549475290126,-0.0001640412947277964,-0.00040343792368600397,8.723285601094914e-05,0.1841631673665267,0.23110671983250408,40,suppressive,12/18,True,delta,-0.00023133096692617983,-3.7511985283344984e-05,-7.072186417644843e-05,2.8569425012392458e-06,band_selective,Removing this channel increases P(attended); significant by occlusion only; best band delta may be suppressive/noisy
29,30,O2,Occipital,0.00022944091278829693,0.00011348328408267763,0.0003430911987835975,0.0001999600079984003,0.0006094019291379819,0.0003287001708407461,0.0001746146404816781,0.00048211627968667463,0.0003999200159968006,0.0010664533759914684,48,facilitatory,15/18,True,delta,0.00035921356175094843,1.2472018170228694e-05,-6.900422158651054e-05,-6.066486093914136e-05,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
30,28,O1,Occipital,0.00021664303761941415,9.469120829929542e-05,0.0003387315106796629,0.0003999200159968006,0.0010664533759914684,0.0003143462575512168,0.0001370684200046976,0.0004943049469111878,0.0013997200559888023,0.003199360127974405,37,facilitatory,12/18,True,delta,0.00018235176685266197,-0.00010010355617851019,4.62092793895863e-05,2.2898968381923623e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
