channel,electrode_name,roi,occ_rank,is_robust,most_important_band,frequency_contribution_type,delta_dp,delta_ci_lo,delta_ci_hi,theta_dp,theta_ci_lo,theta_ci_hi,alpha_dp,alpha_ci_lo,alpha_ci_hi,beta_dp,beta_ci_lo,beta_ci_hi
41,FC3,Fronto-Central,11,True,delta,broadband_facilitatory,0.00029271841049194336,0.00014177453776937913,0.00044177778254379514,0.00011254323180764914,-8.480534734189853e-06,0.00023253220533661075,4.03149206249509e-05,-2.2340922214425514e-06,8.27160576591268e-05,-5.4097592510515824e-05,-9.231523854396073e-05,-1.545025670566247e-05
50,CPz,Centro-Parietal,12,True,delta,broadband_facilitatory,0.0002806281263474375,0.0001673522398050409,0.0003956838569138198,-9.458705108045251e-07,-9.541460167383772e-05,9.372907334181939e-05,3.5204822779633105e-05,-3.238894969399551e-05,0.00010337388084735717,0.00010804894554894418,-0.0001375851439661346,0.00036742192241945277
54,P1,Parietal,13,True,delta,broadband_facilitatory,0.00031466365908272564,0.00022598200230277145,0.0004000896275101695,-1.583734410814941e-05,-5.600457925538649e-05,2.5431169979128714e-05,0.00011082247510785237,3.236961001675809e-05,0.0001964395574759692,0.00020614212553482503,9.537110327073606e-05,0.00032562024716753507
44,C5,Central,14,True,delta,broadband_facilitatory,0.000249099190114066,0.0001633862517337548,0.0003302754288597498,-0.00011209060903638601,-0.0001573418037878582,-6.626841695833718e-05,1.156600865215296e-05,-1.6659917901051812e-05,3.976328362114145e-05,7.398086017929018e-05,4.2327469145675436e-05,0.00010667335918697061
21,TP10,Temporal,15,True,delta,broadband_facilitatory,0.00019446422811597586,0.00011677254460664702,0.00027383104315958917,-5.0333619583398104e-05,-0.00011555535074876387,1.3709450149690344e-05,0.00019319780403748155,8.091234885796441e-05,0.0002994570240844041,0.00010350328375352547,6.667731906873088e-06,0.00020840347533521706
49,CP3,Centro-Parietal,16,True,beta,broadband_facilitatory,0.00010661039414117113,3.0538904320565065e-05,0.00018696609731705388,-0.00012876177788712084,-0.00018877888433053156,-6.940699749975468e-05,6.886470509925857e-05,-1.0781006608340208e-05,0.0001469393166189547,0.00028270293842069805,0.00013054312803433276,0.0004428269596246533
23,P3,Parietal,17,True,theta,broadband_facilitatory,0.00019877924933098257,6.099519241615783e-05,0.00033719578277668894,0.0004854974686168134,0.0003481838233710732,0.0006205352910910733,8.566214819438756e-05,-2.7653669212668314e-05,0.00019034762408409733,-0.0004687503387685865,-0.0007325185448280535,-0.00020984506118111313
6,F8,Frontal,18,True,delta,band_selective,0.0003749883908312768,0.00028420012313290505,0.00046029515724512745,0.0001488733832957223,5.189998373680284e-05,0.0002459314040606841,-6.62764296066598e-06,-3.998032334493473e-05,3.090451536991153e-05,-2.260755172756035e-05,-6.057847949705319e-05,1.4810827019573382e-05
5,F4,Frontal,19,True,delta,band_selective,0.00038647648761980236,0.0002991361281601712,0.00047262223088182507,-0.00011852230090880767,-0.0001987508625461487,-4.2561073678371057e-05,0.00010230236512143165,5.571852616412798e-05,0.00015309313166653735,-5.410637186287204e-06,-4.91865843287087e-05,3.865107073579565e-05
22,P7,Parietal,21,True,delta,band_selective,0.0003256101917941123,0.00024724427566980017,0.00040215743647422644,5.159922693565022e-06,-4.1489130580885096e-05,5.2506612610159156e-05,-2.1758380626124563e-06,-5.5577175589860414e-05,5.378650494094471e-05,-0.00014592264778912067,-0.00026268052824889303,-2.7514002749740076e-05
